cris_id,title,publication_type,doi,doi_link,resolved_doi_link
17157246,Sales Force Modeling: State of the Field and Research Agenda,Forschungsartikel (Zeitschrift),10.1007/s11002-010-9111-4,https://doi.org/10.1007/s11002-010-9111-4,https://link.springer.com/article/10.1007/s11002-010-9111-4
17157337,Special section on Enhancing Sales Force Productivity,Forschungsartikel (Zeitschrift),10.1016/j.ijresmar.2009.12.006,https://doi.org/10.1016/j.ijresmar.2009.12.006,https://linkinghub.elsevier.com/retrieve/pii/S0167811609000998
17261434,Pricing Two Heterogeneous Trees,Forschungsartikel (Zeitschrift),10.1017/S002210901100038X,https://doi.org/10.1017/S002210901100038X,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/pricing-two-heterogeneous-trees/F6880304E82C51C1BF2D585A46F54024
17261516,Tractable Hedging with Additional Hedge Instruments,Forschungsartikel (Zeitschrift),10.1007/s11147-010-9056-z,https://doi.org/10.1007/s11147-010-9056-z,https://link.springer.com/article/10.1007/s11147-010-9056-z
17261598,Pricing and Upper Price Bounds of Relax Certificates,Forschungsartikel (Zeitschrift),10.1007/s11846-010-0047-0,https://doi.org/10.1007/s11846-010-0047-0,https://link.springer.com/article/10.1007/s11846-010-0047-0
17261680,On the Optimal Design of Insurance Contracts with Guarantees,Forschungsartikel (Zeitschrift),10.1016/j.insmatheco.2010.01.006,https://doi.org/10.1016/j.insmatheco.2010.01.006,https://linkinghub.elsevier.com/retrieve/pii/S0167668710000089
17261764,Discrete-Time Implementation of Continuous-Time Portfolio Strategies,Forschungsartikel (Zeitschrift),10.1080/13518470903075854,https://doi.org/10.1080/13518470903075854,https://www.tandfonline.com/doi/abs/10.1080/13518470903075854
17261846,What is the Impact of Stock Market Contagion on an Investor's Portfolio Choice?,Forschungsartikel (Zeitschrift),10.1016/j.insmatheco.2009.04.006,https://doi.org/10.1016/j.insmatheco.2009.04.006,https://linkinghub.elsevier.com/retrieve/pii/S0167668709000493
17261930,Can Tests Based on Option Hedging Errors Correctly Identify Volatility Risk Premia?,Forschungsartikel (Zeitschrift),10.1017/S0022109000014435,https://doi.org/10.1017/S0022109000014435,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/recovering-risk-neutral-densities-from-option-prices-a-new-approach/2FBB151B3D1F4A0B2E60C6C29D0D7039
17262011,Optimal Derivatives Strategies with Discrete Rebalancing,Forschungsartikel (Zeitschrift),10.3905/JOD.2008.16.2.067,https://doi.org/10.3905/JOD.2008.16.2.067,https://jod.pm-research.com/content/16/2/67
17262105,Optimal Portfolios When Volatility can Jump,Forschungsartikel (Zeitschrift),10.1016/j.jbankfin.2007.09.015,https://doi.org/10.1016/j.jbankfin.2007.09.015,https://linkinghub.elsevier.com/retrieve/pii/S0378426607002853
17292119,Tracking down the business cycle: A dynamic factor model for Germany 1820-1913,Forschungsartikel (Zeitschrift),10.1016/j.eeh.2009.04.002,https://doi.org/10.1016/j.eeh.2009.04.002,https://linkinghub.elsevier.com/retrieve/pii/S0014498309000163
17292594,Stock markets and business cycle comovement in Germany before World War I: Evidence from spectral analysis,Forschungsartikel (Zeitschrift),10.1016/j.jmacro.2007.08.012,https://doi.org/10.1016/j.jmacro.2007.08.012,https://linkinghub.elsevier.com/retrieve/pii/S0164070407001310
17364233,The Role of Volatility Shocks and Rare Events in Long-Run Risk Models,Forschungsartikel (Zeitschrift),10.1016/j.jedc.2017.10.007,https://doi.org/10.1016/j.jedc.2017.10.007,https://linkinghub.elsevier.com/retrieve/pii/S016518891730221X
17364386,The Dynamics of Crises and the Equity Premium,Forschungsartikel (Zeitschrift),10.1093/rfs/hhv057,https://doi.org/10.1093/rfs/hhv057,https://academic.oup.com/rfs/article-lookup/doi/10.1093/rfs/hhv057
17453299,"Robust Portfolio Choice with Uncertainty about Jump and
Diffusion Risk",Forschungsartikel (Zeitschrift),10.1016/j.jbankfin.2013.08.023,https://doi.org/10.1016/j.jbankfin.2013.08.023,https://linkinghub.elsevier.com/retrieve/pii/S0378426613003543
17453456,Quit Behavior of Professional Tennis Players,Forschungsartikel (Zeitschrift),10.1177/1527002509336210,https://doi.org/10.1177/1527002509336210,https://journals.sagepub.com/doi/10.1177/1527002509336210
17453619,Unentschieden sind nicht unabhängig von der Drei-Punkte-Regel,Forschungsartikel (Zeitschrift),10.1007/s12662-009-0086-3,https://doi.org/10.1007/s12662-009-0086-3,https://link.springer.com/article/10.1007/s12662-009-0086-3
17453699,"Are Three Points for a Win Really Better Than Two?
A Comparison of German Soccer League and Cup Games",Forschungsartikel (Zeitschrift),10.1177/1527002508327521,https://doi.org/10.1177/1527002508327521,https://journals.sagepub.com/doi/10.1177/1527002508327521
17453864,Warum Angriff nicht immer die beste Verteidigung ist,Forschungsartikel (Zeitschrift),10.1007/s12662-009-0002-x,https://doi.org/10.1007/s12662-009-0002-x,https://link.springer.com/article/10.1007/s12662-009-0002-x
17456544,The Dynamic of Bicycle Finals: A Theoretical and Empirical Analysis of Slipstreaming,Forschungsartikel (Zeitschrift),10.1016/S0313-5926(09)50037-9,https://doi.org/10.1016/S0313-5926(09)50037-9,https://linkinghub.elsevier.com/retrieve/pii/S0313592609500379
17456869,Do Foreign Institutional Investors Destabilize China’s A-Share Markets?,Forschungsartikel (Zeitschrift),10.1016/j.intfin.2009.10.004,https://doi.org/10.1016/j.intfin.2009.10.004,https://linkinghub.elsevier.com/retrieve/pii/S1042443109000493
17456949,Individual Investors Surpass their Reputation: Trading Behavior on the Polish Futures Market,Forschungsartikel (Zeitschrift),10.1016/j.ecosys.2009.12.003,https://doi.org/10.1016/j.ecosys.2009.12.003,https://linkinghub.elsevier.com/retrieve/pii/S093936251000021X
17457029,The Other January Effect: International Evidence,Forschungsartikel (Zeitschrift),10.1080/13518470903037953,https://doi.org/10.1080/13518470903037953,https://www.tandfonline.com/doi/abs/10.1080/13518470903037953
17457109,The Euro Area Stock Market Channel: Does One Size Fit All?,Forschungsartikel (Zeitschrift),10.1016/j.frl.2009.08.001,https://doi.org/10.1016/j.frl.2009.08.001,https://linkinghub.elsevier.com/retrieve/pii/S1544612309000300
17457189,Together We Invest? Individual and Institutional Investors’ Trading Behaviour in Poland,Forschungsartikel (Zeitschrift),10.1016/j.irfa.2009.03.002,https://doi.org/10.1016/j.irfa.2009.03.002,https://linkinghub.elsevier.com/retrieve/pii/S1057521909000106
17457269,Asset Prices as Indicators of Euro Area Monetary Policy: An Empirical Assessment of Their Role in a Taylor Rule,Forschungsartikel (Zeitschrift),10.1007/s11079-007-9063-3,https://doi.org/10.1007/s11079-007-9063-3,https://link.springer.com/article/10.1007/s11079-007-9063-3
17457349,Vorteilhaftigkeit des börslichen Abendhandels aus Anlegersicht,Forschungsartikel (Zeitschrift),10.3790/kuk.41.4.541,https://doi.org/10.3790/kuk.41.4.541,https://elibrary.duncker-humblot.com/article/7646/vorteilhaftigkeit-des-borslichen-abendhandels-aus-anlegersicht
17457429,Empirical Evidence on Feedback Trading in Mature and Emerging Stock Markets,Forschungsartikel (Zeitschrift),10.1080/09603100701704280,https://doi.org/10.1080/09603100701704280,https://www.tandfonline.com/doi/abs/10.1080/09603100701704280
17457509,International Evidence on the Democrat Premium and the Presidential Cycle Effect,Forschungsartikel (Zeitschrift),10.1016/j.najef.2005.10.001,https://doi.org/10.1016/j.najef.2005.10.001,https://linkinghub.elsevier.com/retrieve/pii/S1062940805000501
17457589,Institutional Trading and Stock Return Autocorrelation: Empirical Evidence on Polish Pension Fund Investors’ Behavior,Forschungsartikel (Zeitschrift),10.1016/j.gfj.2006.01.007,https://doi.org/10.1016/j.gfj.2006.01.007,https://linkinghub.elsevier.com/retrieve/pii/S1044028306000081
17457927,Financial Contagion Vulnerability and Resistance: A Comparison of European Capital Markets,Forschungsartikel (Zeitschrift),10.1016/j.ecosys.2005.05.003,https://doi.org/10.1016/j.ecosys.2005.05.003,https://linkinghub.elsevier.com/retrieve/pii/S0939362505000518
17458087,Empirical Evidence on Cross-Listed Stocks of Central and Eastern European Companies,Forschungsartikel (Zeitschrift),10.1016/j.ememar.2004.11.001,https://doi.org/10.1016/j.ememar.2004.11.001,https://linkinghub.elsevier.com/retrieve/pii/S1566014105000178
17458246,Trading Volume and Stock Market Volatility: The Polish Case,Forschungsartikel (Zeitschrift),10.1016/S1057-5219(03)00066-8,https://doi.org/10.1016/S1057-5219(03)00066-8,https://linkinghub.elsevier.com/retrieve/pii/S1057521903000668
